date	Lucky Charms	Frosted Flakes	Count Chocula	Honey Nut Cheerios	Capn Crunch	Wheaties	Reeses_Puffs	Rice Krispies	Corn Flakes	Raisin Bran	Cookie Crisp	Apple Jacks	Grape-Nuts	Trix	Honeycomb
20121230	21.42857143	21.42857143	14.28571429	7.142857143	0	14.28571429	0	121.4285714	100	21.42857143	21.42857143	7.142857143	0	14.28571429	35.71428571
20130106	6.451612903	4.838709677	1.612903226	35.48387097	1.612903226	3.225806452	0	25.80645161	22.58064516	4.838709677	4.838709677	1.612903226	0	4.838709677	8.064516129
20130113	20	12	4	24	0	12	0	60	60	16	12	4	0	8	16
20130120	21.73913043	13.04347826	4.347826087	17.39130435	0	13.04347826	0	69.56521739	69.56521739	17.39130435	8.695652174	8.695652174	0	13.04347826	17.39130435
20130127	20	20	5	20	0	10	0	85	85	25	10	5	0	15	25
20130203	31.25	18.75	6.25	18.75	6.25	12.5	0	118.75	106.25	25	18.75	6.25	0	12.5	31.25
20130210	22.22222222	16.66666667	5.555555556	16.66666667	0	11.11111111	0	122.2222222	83.33333333	22.22222222	11.11111111	5.555555556	0	11.11111111	27.77777778
20130217	26.31578947	15.78947368	10.52631579	21.05263158	0	15.78947368	0	89.47368421	84.21052632	15.78947368	10.52631579	5.263157895	0	26.31578947	26.31578947
20130224	26.31578947	15.78947368	5.263157895	15.78947368	5.263157895	15.78947368	0	89.47368421	78.94736842	15.78947368	10.52631579	5.263157895	0	10.52631579	26.31578947
20130303	33.33333333	16.66666667	5.555555556	16.66666667	5.555555556	16.66666667	0	105.5555556	83.33333333	16.66666667	11.11111111	5.555555556	0	11.11111111	27.77777778
20130310	68.75	18.75	6.25	18.75	0	12.5	0	131.25	100	18.75	12.5	6.25	0	18.75	31.25
20130317	43.75	18.75	6.25	18.75	0	18.75	0	131.25	100	18.75	12.5	6.25	0	12.5	25
20130324	26.66666667	26.66666667	6.666666667	20	0	20	0	206.6666667	146.6666667	26.66666667	13.33333333	6.666666667	0	20	46.66666667
20130331	28.57142857	21.42857143	14.28571429	14.28571429	7.142857143	21.42857143	0	128.5714286	121.4285714	28.57142857	14.28571429	7.142857143	0	21.42857143	35.71428571
20130407	26.66666667	20	6.666666667	13.33333333	0	13.33333333	0	113.3333333	100	20	20	6.666666667	0	20	40
20130414	31.25	25	6.25	12.5	6.25	12.5	0	112.5	100	18.75	18.75	6.25	0	12.5	31.25
20130421	26.66666667	20	6.666666667	13.33333333	0	13.33333333	0	113.3333333	100	20	20	6.666666667	0	13.33333333	33.33333333
20130428	17.39130435	13.04347826	8.695652174	34.7826087	4.347826087	8.695652174	0	73.91304348	60.86956522	17.39130435	13.04347826	4.347826087	0	8.695652174	26.08695652
20130505	25	18.75	6.25	18.75	0	18.75	0	87.5	87.5	18.75	12.5	6.25	0	18.75	37.5
20130512	30.76923077	15.38461538	15.38461538	15.38461538	7.692307692	15.38461538	0	115.3846154	115.3846154	23.07692308	15.38461538	7.692307692	0	23.07692308	38.46153846
20130519	26.66666667	20	13.33333333	6.666666667	0	13.33333333	0	106.6666667	93.33333333	13.33333333	20	6.666666667	0	13.33333333	40
20130526	12.12121212	9.090909091	3.03030303	6.060606061	0	6.060606061	0	48.48484848	45.45454545	9.090909091	9.090909091	3.03030303	0	9.090909091	12.12121212
20130602	3	3	1	3	0	3	0	13	14	3	2	1	0	2	5
20130609	10.25641026	5.128205128	2.564102564	5.128205128	0	5.128205128	0	41.02564103	35.8974359	5.128205128	5.128205128	2.564102564	0	7.692307692	12.82051282
20130616	13.04347826	13.04347826	4.347826087	8.695652174	8.695652174	8.695652174	0	65.2173913	60.86956522	17.39130435	8.695652174	4.347826087	0	8.695652174	17.39130435
20130623	17.39130435	8.695652174	4.347826087	13.04347826	4.347826087	13.04347826	0	60.86956522	56.52173913	13.04347826	8.695652174	4.347826087	0	13.04347826	21.73913043
20130630	19.04761905	14.28571429	4.761904762	14.28571429	4.761904762	9.523809524	0	95.23809524	66.66666667	14.28571429	9.523809524	0	0	9.523809524	23.80952381
20130707	16	12	4	16	0	8	0	60	60	16	8	4	0	12	20
20130714	6.779661017	5.084745763	1.694915254	13.55932203	0	3.389830508	0	30.50847458	23.72881356	5.084745763	3.389830508	1.694915254	0	3.389830508	8.474576271
20130721	14.28571429	10.71428571	3.571428571	10.71428571	0	10.71428571	0	53.57142857	57.14285714	10.71428571	7.142857143	0	0	7.142857143	14.28571429
20130728	18.18181818	18.18181818	4.545454545	9.090909091	0	9.090909091	0	72.72727273	72.72727273	13.63636364	9.090909091	9.090909091	0	9.090909091	22.72727273
20130804	18.18181818	18.18181818	4.545454545	13.63636364	4.545454545	9.090909091	0	90.90909091	68.18181818	13.63636364	9.090909091	4.545454545	0	9.090909091	22.72727273
20130811	25	20	5	20	5	20	0	95	80	20	10	5	0	10	25
20130818	25	15	10	15	0	10	0	90	75	20	10	5	0	10	25
20130825	22.22222222	16.66666667	16.66666667	16.66666667	0	11.11111111	0	94.44444444	83.33333333	11.11111111	16.66666667	5.555555556	0	11.11111111	27.77777778
20130901	26.31578947	15.78947368	10.52631579	21.05263158	5.263157895	10.52631579	0	84.21052632	84.21052632	15.78947368	10.52631579	5.263157895	0	10.52631579	36.84210526
20130908	19.04761905	19.04761905	14.28571429	19.04761905	4.761904762	9.523809524	0	85.71428571	71.42857143	14.28571429	14.28571429	4.761904762	0	9.523809524	23.80952381
20130915	14.28571429	19.04761905	14.28571429	19.04761905	0	9.523809524	0	80.95238095	76.19047619	19.04761905	9.523809524	4.761904762	0	14.28571429	23.80952381
20130922	21.05263158	15.78947368	15.78947368	15.78947368	5.263157895	15.78947368	0	89.47368421	84.21052632	15.78947368	10.52631579	5.263157895	0	10.52631579	31.57894737
20130929	20	20	20	15	0	10	0	90	70	15	15	5	0	10	25
